year_new,group,average_wage_mar26,median_wage_mar26,low_wage_mar26
2012,male,28.929897751094405,25.21345202856388,13.188785907685144
2013,male,28.334689240292658,24.318727839336884,12.922036551254253
2014,male,28.411011682913262,24.310514823992317,12.972196152175377
2015,male,28.994404723383937,24.622064875391512,13.11369840913645
2016,male,30.075050587208324,25.488143907617815,13.194055057038844
2017,male,31.030640994795526,26.202003434996346,13.435063102092293
2018,male,31.443019707360317,26.670440125580303,13.63402163124298
2019,male,32.02301792843957,26.956211216044505,14.066867296611047
2020,male,32.89145415317459,27.379602628273688,14.454761589920356
2021,male,34.4595555947276,28.427828686880165,15.30651722810622
2022,male,35.36056085549213,28.79441539858909,15.90954050212388
2023,male,36.24993873637278,29.15367423791006,16.250056722151207
2024,male,36.195348989173475,28.844223862606782,16.222431567187233
2025,male,36.10223018938206,29.51216878889006,16.40568375272281
2026,male,35.58387602397412,29.65333246734269,16.828979074896772
2027,male,35.53780155861381,29.912533652607735,17.042551854031355
2028,male,35.66986802793142,29.747947008042615,17.54825972978939
1989,white,25.290800917262324,23.867041314458973,12.637884224357377
1990,white,25.70130955316892,23.90355735406617,12.596106875039247
1991,white,25.522895278200735,23.600912122831122,12.639747878335667
1992,white,25.116679009775623,23.149935708121266,12.39709041956947
1993,white,24.528233151386754,22.388290960369226,12.074670017658367
1994,white,24.11316009734179,21.83877209866093,11.840570587963756
1995,white,23.812166492225536,21.431020514384656,11.66607810538956
1996,white,23.670919347379314,21.336474641905557,11.707465382203454
1997,white,23.59387044735449,21.46561789281457,11.68385945431281
1998,white,23.983761337459807,22.04132378530481,11.91271119707664
1999,white,24.80411485689215,22.727205322215738,12.289218194761943
2000,white,25.812799854339,23.413234538363007,12.823671338768328
2001,white,26.862547745811888,24.246255147312176,13.506492270135281
2002,white,27.77460394066619,24.912909093767666,13.864525265696395
2003,white,28.215934333609553,25.339338543768573,13.980386958132529
2004,white,27.965732385780885,25.15553085737757,13.714278771874588
2005,white,27.27300069237379,24.56060625264247,13.408012080713469
2006,white,27.000029557730862,24.087339206826954,13.138329042466928
2007,white,27.29322712219078,24.08235481807756,13.16943051344436
2008,white,27.701423002138316,24.198265920099008,13.39457794746476
2009,white,27.85254530150301,24.446901570491057,13.586779463942591
2010,white,27.728084918280313,24.458640788962466,13.448392309475905
2011,white,27.365838945269648,24.283682335744935,13.173564667589389
2012,white,26.909630530594498,23.73444023918213,12.775429088554997
2013,white,26.52481824950546,23.225028955261305,12.644417895133348
2014,white,26.357494316259203,22.931872133090145,12.541865328581057
2015,white,26.731188105385492,23.094575006452125,12.722162974177063
2016,white,27.63623227206747,23.73588776989058,12.899343821928483
2017,white,28.53058001258604,24.437279218018674,13.18144152844126
2018,white,29.168497497122196,25.22234849238862,13.510172517880555
2019,white,29.56667374548997,25.56324945013521,14.05996255352113
2020,white,30.481187089165623,25.975311844529784,14.524997176725007
2021,white,31.53929354978597,26.813703065696703,15.177483115522527
2022,white,32.32889233598364,27.27077865675238,15.43049255532963
2023,white,32.8815834607106,27.481560913197885,15.834865411122038
2024,white,32.78159332541353,27.11185362385925,15.880742012027666
2025,white,33.019848679018594,27.35084146985884,16.215884142377
2026,white,32.63905999469634,27.492270308591607,16.288416054338956
2027,white,32.814401346463,27.86441324611548,16.290183005642408
2028,white,32.39490722684499,27.728305679039593,16.226123092797938
