occ18,occ18_label,mocc03,mocc03_label,pca_score,share_grads_22_27,share_noncollege_22_27,share_all_grads,share_all_16plus,wgt_grads_22_27,wgt_noncollege_22_27,wgt_all_grads,wgt_all_16plus
410,"Property, Real Estate, and Community Association Managers",1,"Management, business, and financial occupations",1.073275462,0.003283764697536664,0.002071695668215175,0.007574377705185866,0.005321174796614474,884043.8827209473,1133882.5834960938,14193616.811386108,38577956.34925842
420,Social and Community Service Managers,1,"Management, business, and financial occupations",1.176105145,0.003567529532265882,7.074028774068247e-4,0.004904076558943815,0.0030798308354751517,960438.0794372559,387176.463470459,9189742.867416382,22328448.899978638
425,Emergency Management Directors,1,"Management, business, and financial occupations",2.443231524,8.814245093176661e-5,6.183803953203936e-6,1.74402111230167e-4,1.260502701394864e-4,23729.40869140625,3384.52587890625,326811.8958740235,913851.1710510254
440,"Managers, All Other",1,"Management, business, and financial occupations",1.654042085,0.024471140284455923,0.011790165807018636,0.05154376033492771,0.03680535140746189,6588036.556915283,6453005.559753418,96587787.36515808,266834917.90563965
500,"Agents and Business Managers of Artists, Performers, and Athletes",1,"Management, business, and financial occupations",2.300953013,2.668076916053877e-4,1.5363901553160295e-4,6.026920881186625e-4,3.2429900668150795e-4,71829.052734375,84089.86248779295,1129383.94241333,2351133.6127929688
540,"Claims Adjusters, Appraisers, Examiners, and Investigators",1,"Management, business, and financial occupations",2.223841315,0.0025267367777425014,0.0011522150724199113,0.0039095493550860404,0.002385738881998551,680239.4194946289,630631.5271606445,7326099.596710205,17296355.404266357
565,Compliance Officers,1,"Management, business, and financial occupations",1.610491575,0.002116722319955865,6.478594675436946e-4,0.0031440645583781595,0.0020238020398265447,569856.7317504883,354587.10372924805,5891658.603363037,14672351.451721191
600,Cost Estimators,1,"Management, business, and financial occupations",2.26077832,0.001267525775196901,5.549223024014432e-4,0.0012632727503068656,9.397258223658667e-4,341238.94705200195,303720.63983154297,2367245.210632324,6812913.151916504
630,Human Resources Workers,1,"Management, business, and financial occupations",2.456110636,0.014048425276262204,0.0025012460306286723,0.011623297612249844,0.006116630229365457,3782068.927368164,1368984.5254211426,21780882.709350586,44344924.38458252
640,"Compensation, Benefits, and Job Analysis Specialists",1,"Management, business, and financial occupations",2.184138723,2.2271281443211275e-4,2.1609344398048814e-4,6.590006759625587e-4,3.8415018762447974e-4,59957.98095703124,118272.48388671874,1234900.5340270996,2785048.3654785156
650,Training and Development Specialists,1,"Management, business, and financial occupations",2.663735294,0.001020260117857747,7.68199833043025e-4,0.0013498250655316923,0.0010676179830978068,274670.9338378906,420451.91516113275,2529435.4847717285,7740117.835601807
700,Logisticians,1,"Management, business, and financial occupations",2.294915401,0.0013854449956023948,0.0011863397682237051,0.0016067875739338695,0.0012580962318411379,372984.7556152344,649308.6904296875,3010957.2045898438,9121065.059921265
705,Project Management Specialists,1,"Management, business, and financial occupations",-0.147136807,0.008892990453057893,0.0013006357692270222,0.012368169689902333,0.006409033761081838,2394140.4251708984,711865.294128418,23176697.554504395,46464819.16610718
710,Management Analysts,1,"Management, business, and financial occupations",2.66865873,0.013721338356421,0.0010053366663051047,0.012404810204478266,0.007000825377219839,3694011.707305908,550241.8883056641,23245358.16847229,50755246
725,"Meeting, Convention, and Event Planners",1,"Management, business, and financial occupations",1.224443088,0.0036229595657023372,5.338112621002703e-4,0.002115003811715463,0.0011224770582152555,975360.7631530762,292166.12374877936,3963302.970428467,8137840.347290039
726,Fundraisers,1,"Management, business, and financial occupations",1.601055409,0.0013262437387523017,8.244026227961971e-5,0.00108192986856802,5.254951668201666e-4,357046.7960510254,45121.28833007812,2027427.013671875,3809784.5649108887
735,Market Research Analysts and Marketing Specialists,1,"Management, business, and financial occupations",2.940881781,0.013643924979268944,0.001591188114477424,0.007864598556488626,0.003510644104721983,3673170.7431030273,870890.69970703125,14737461.297943115,25451799.6882782
750,"Business Operations Specialists, All Other",1,"Management, business, and financial occupations",2.71546351,0.005186156554609567,0.001995729995665838,0.0055560319617104365,0.0037427866353887166,1396199.3014831543,1092304.9742126465,10411441.272903442,27134808.564544678
800,Accountants and Auditors,1,"Management, business, and financial occupations",2.518030387,0.026040994464514414,0.0010991043243731308,0.02627109442556583,0.0110620005198601,7010667.32144165,601562.8984375,49229370.65007019,80198337.67951965
820,Budget Analysts,1,"Management, business, and financial occupations",2.653636118,3.4087899662376076e-4,3.515182473053794e-5,5.769764625118145e-4,3.3114064064065874e-4,91770.27572631837,19239.33251953125,1081195.4640808105,2400734.7377929688
830,Credit Analysts,1,"Management, business, and financial occupations",2.567839121,0.001213649265292622,8.435616299632704e-5,7.095606649603505e-4,2.743635176365798e-4,326734.4976196289,46169.90106201172,1329644.8335266113,1989106.5811157227
845,Financial and Investment Analysts,1,"Management, business, and financial occupations",0.237527731,0.011235616503939828,1.7203039027987197e-4,0.005769941510829956,0.0026098142476677125,3024814.18548584,94155.848449707,10812286.10671997,18920878.184692383
850,Personal Financial Advisors,1,"Management, business, and financial occupations",3.036880167,0.006844544221161667,6.942332647800496e-4,0.007502111943508741,0.003509164872047241,1842664.7479553223,379968.45767211914,14058198.091888428,25441075.407318115
