"date","epop","unemp","employment","labor_force","idled","population"
2013-11-01,0.609945686801014,0.0540218881637302,23763186.0993106,25120228.2610779,0,38959511.6639671
2013-12-01,0.609266944328909,0.0534366724817566,23773801.3145154,25115912.0825513,0,39020336.7108676
2014-01-01,0.608774084515973,0.0523022692272939,23790348.694617,25103308.7050018,0,39079108.8183924
2014-02-01,0.60875271131094,0.0513242360227662,23825859.246666,25114860.262455,0,39138814.1752294
2014-03-01,0.608585570531215,0.050914904925091,23855795.5912221,25135570.7881381,0,39198753.2178904
2014-04-01,0.608638918156402,0.0502792949347356,23894757.6246649,25159773.2862136,0,39259332.4413815
2014-05-01,0.609126916518304,0.0494885797504495,23950277.2696524,25197253.5620502,0,39319026.3312435
2014-06-01,0.609563581222131,0.0487455636884753,24004818.3665196,25234908.1909126,0,39380335.5482486
2014-07-01,0.609966422234215,0.0482044298804752,24058548.8393981,25277012.8320484,0,39442415.1271725
2014-08-01,0.61028910757056,0.0474086689681283,24109655.2480742,25309547.1926645,0,39505301.5841131
2014-09-01,0.611083163999887,0.0461653563020084,24179680.8468049,25349971.3043143,0,39568560.0115951
2014-10-01,0.611866040632032,0.0448671197158121,24249914.3606008,25389047.8080762,0,39632718.1935962
2014-11-01,0.612748409176203,0.0445097135418667,24324369.1787707,25457474.0565262,0,39697155.9852324
2014-12-01,0.613475587957361,0.0435409555778679,24392975.4569562,25503418.6766396,0,39761933.377293
2015-01-01,0.614129579584239,0.0431461966117781,24460482.0828921,25563447.6199786,0,39829513.0149107
2015-02-01,0.614039914514608,0.0427480195026993,24498987.7478167,25593039.4994736,0,39898037.8452806
2015-03-01,0.614302413926819,0.0419805115472543,24552208.0271893,25628088.2833004,0,39967624.2035964
2015-04-01,0.614938270082953,0.041512239636403,24620506.3240013,25686823.9138095,0,40037362.3204165
2015-05-01,0.615121112459126,0.041002066999901,24670888.7143138,25725695.4007546,0,40107367.8249877
2015-06-01,0.615180218734983,0.0403691687408687,24715908.0819343,25755641.9373318,0,40176695.103686
2015-07-01,0.615396255670478,0.0396610273938313,24766975.8574562,25789826.8881493,0,40245574.5046295
2015-08-01,0.615092132101091,0.0393499665449163,24797181.364713,25812918.8582102,0,40314580.646656
2015-09-01,0.614638980144007,0.0393206504939853,24821683.4104983,25837636.0679156,0,40384167.311814
2015-10-01,0.6145602245596,0.0389555931883554,24861189.2539921,25868928.7173227,0,40453625.6341807
2015-11-01,0.614640846162091,0.038431595151461,24907100.6492023,25902578.0418873,0,40523015.6842422
2015-12-01,0.615148977511687,0.0377691585254268,24970199.6680317,25950321.4735521,0,40592117.6509755
2016-01-01,0.615590703295888,0.0373025285069992,25029575.582496,25999419.6761303,0,40659443.7643178
2016-02-01,0.616416113735589,0.0370556668770225,25103894.3999043,26069933.1585331,0,40725564.8262831
2016-03-01,0.616597714784139,0.0370844607713514,25151578.1134288,26120232.8644282,0,40790903.8752015
2016-04-01,0.616641708121703,0.0368561554303213,25192294.9254799,26156316.1800982,0,40854023.6472422
2016-05-01,0.616491366351499,0.03656224286757,25224041.1265666,26181287.7270279,0,40915481.5514234
2016-06-01,0.616650760303804,0.0363393818630678,25267404.1488101,26220231.1407725,0,40975225.8091138
2016-07-01,0.616877476315388,0.0361187965352588,25312583.1305364,26261102.5503438,0,41033404.6912015
2016-08-01,0.617198932786478,0.0357390708254879,25361327.2199148,26301311.6601397,0,41091009.5152232
2016-09-01,0.617708911500558,0.0355141152250489,25416604.7782199,26352490.1498693,0,41146572.9326731
2016-10-01,0.617994929867935,0.0355876907948042,25462056.0669505,26401629.0790965,0,41201075.9900436
2016-11-01,0.618076132689964,0.035337442907957,25498354.3190002,26432408.0286318,0,41254390.794913
2016-12-01,0.617868173579239,0.035572012535426,25521601.5853144,26462941.6784236,0,41305900.9618034
2017-01-01,0.617961574945048,0.0354171606435394,25549280.2963473,26487388.3858363,0,41344448.1537857
2017-02-01,0.618082332183435,0.0347351918475264,25577196.9534849,26497596.0352681,0,41381537.0892919
2017-03-01,0.618955184562083,0.0339772698039013,25634995.0258026,26536637.5184555,0,41416560.7869326
2017-04-01,0.619402989450873,0.0333552611319085,25674429.3336067,26560356.9763082,0,41450283.2095922
2017-05-01,0.620169438968293,0.0328952618444169,25727453.2023837,26602551.0860901,0,41484555.0035222
2017-06-01,0.621074925371427,0.0326104176839554,25785806.977197,26655038.9300893,0,41518029.3452937
2017-07-01,0.621666828790156,0.0324211688635331,25831259.9842046,26696801.493543,0,41551613.80329
2017-08-01,0.622697944549334,0.0322094449672441,25893477.1214612,26755248.8364436,0,41582724.5747553
2017-09-01,0.62344450025182,0.0320188445272377,25942719.1704458,26800851.4667575,0,41611914.3884773
2017-10-01,0.624168338416548,0.0314681538253899,25989773.3626595,26834195.9691989,0,41639044.7304535
2017-11-01,0.624849363914954,0.0311945645829983,26033980.3478279,26872248.4371923,0,41664410.4183985
2017-12-01,0.625404105475317,0.0310502794693475,26072705.0265236,26908212.5461006,0,41689372.9962133
