"year_new","month","epop","unemp","employment","labor_force","idled","population"
1998,10,0.585425535873309,0.0245483922555993,1056622.76271311,1083213.92299143,0,1804879.86595408
1998,11,0.586662443522811,0.0260464674172098,1064193.66918182,1092653.43117523,0,1813979.5395654
1998,12,0.579541074830716,0.0250817004577389,1055369.80158806,1082521.27597109,0,1821044.00778898
1998,1,0.571600186644724,0.0303631142616886,1043170.07579041,1075835.80114746,0,1824999.53667577
1998,2,0.577756102075301,0.0278149583918928,1059730.92566236,1090050.63882637,0,1834218.49090958
1998,3,0.57803799296925,0.0298050812669266,1067653.41269239,1100452.48854383,0,1847029.82447243
1999,4,0.581098545446573,0.0237159116076491,1070926.36897341,1096941.3326575,0,1842934.17590714
1999,5,0.580900210044188,0.022448199116772,1070656.2265269,1095242.44705963,0,1843098.36356481
1999,6,0.572407054887062,0.0248856071539027,1060081.77422333,1087135.80888621,0,1851971.88813909
1999,7,0.564855632401251,0.0277551398490616,1052327.73861567,1082369.04276594,0,1863003.0015672
1999,8,0.571443801699804,0.0267158995885355,1068209.44658788,1097530.9738814,0,1869316.70867793
1999,9,0.580697462308404,0.0239274663880977,1087272.6187973,1113926.04684194,0,1872356.41512044
1999,10,0.584779669133637,0.0219284041841986,1096198.72476133,1120775.54388746,0,1874549.99313736
1999,11,0.582544886930977,0.0274341736566177,1097956.83231099,1128928.040212,0,1884759.1952877
1999,12,0.581736770497621,0.0244929998033437,1098055.85446866,1125625.80714162,0,1887547.61630313
1999,1,0.5723957228336,0.0318405615216913,1085588.18606567,1121290.71196365,0,1896569.35361354
1999,2,0.57613393442316,0.0294751054456466,1098023.37510363,1131370.6441377,0,1905847.42452812
1999,3,0.580639252784503,0.0314256932150693,1108460.5281601,1144424.8731308,0,1909034.77993329
2000,4,0.57960067784055,0.0273360322575234,1110976.6043644,1142199.81536166,0,1916796.59261894
2000,5,0.575954778532713,0.0239357955047285,1103288.11175219,1130343.78954887,0,1915581.14087168
2000,6,0.573703272432338,0.0276625677768648,1099714.91191546,1131001.31237475,0,1916870.55793317
2000,7,0.571951426098838,0.0309961557471821,1097898.49939664,1133017.69224993,0,1919565.97937902
2000,8,0.578300662469416,0.026974099658558,1111528.05609957,1142341.69481977,0,1922059.10910289
2000,9,0.579302960158286,0.0219970832396416,1119452.95825195,1144631.51292038,0,1932413.66822306
2000,10,0.579719030991468,0.0222607519094062,1124709.81032054,1150316.72556559,0,1940094.68413862
2000,11,0.578209060830429,0.0238645723688746,1123402.86655108,1150867.83529345,0,1942900.83406448
2000,12,0.58170909036873,0.0239187406805448,1132067.04959742,1159808.20120112,0,1946105.13801638
2000,1,0.576179930567198,0.0288598989978594,1146785.94500478,1180865.60715739,0,1990326.08420753
2000,2,0.581779717513605,0.0286593233546036,1160318.22533226,1194553.31505267,0,1994428.80252202
2000,3,0.58258169363188,0.0275749174558844,1164526.41236115,1197548.71944936,0,1998906.63419469
2001,4,0.58002276544654,0.020773618542078,1166435.73733902,1191180.87443924,0,2011017.16488838
2001,5,0.575992548488511,0.0198672977427698,1158282.76153628,1181761.16241074,0,2010933.58685939
2001,6,0.575586369424623,0.0206134326113761,1163983.2222875,1188481.91413434,0,2022256.40515264
2001,7,0.571935177567361,0.0239840699606081,1158008.43576368,1186464.68784269,0,2024719.72556241
2001,8,0.575159844514436,0.027453387506013,1166334.63492902,1199258.33882459,0,2027844.33936564
2001,9,0.578904091211288,0.0233727721481455,1178789.93866094,1207000.89557584,0,2036243.92461014
2001,10,0.578177230105731,0.0248134810492894,1177322.90877787,1207279.72126261,0,2036266.47241465
2001,11,0.575099497195538,0.0281874743452307,1171364.95323753,1205340.45643044,0,2036803.99469948
2001,12,0.582973990853636,0.0222888614837621,1189603.00723966,1216722.36346308,0,2040576.46808179
2001,1,0.57687635858372,0.0323144311982453,1177495.20019976,1216815.91434479,0,2041156.97008387
2001,2,0.581461588349128,0.0311119910058744,1192818.56408882,1231121.19565519,0,2051414.20859019
2001,3,0.588406608221797,0.0291642737836598,1205893.22485987,1242118.71514002,0,2049421.62105242
2002,4,0.588982211299234,0.027710797969818,1209668.5682958,1244144.81387838,0,2053828.69820023
2002,5,0.59088727717318,0.0239867669271498,1222684.2146244,1252733.2347482,0,2069234.28860029
2002,6,0.58324460386566,0.0257542186782514,1213236.0166715,1245307.94993591,0,2080149.57811928
2002,7,0.580512453241379,0.0279520816492697,1213646.81885974,1248546.28660583,0,2090647.34457143
2002,8,0.58120025631713,0.0312125196613494,1219560.68805949,1258852.65118535,0,2098348.5034701
2002,9,0.588468600350101,0.0318018121622187,1240096.10271454,1280828.77895482,0,2107327.56510162
2002,10,0.58732361418453,0.0320730749205014,1243911.8397452,1285129.90755272,0,2117932.61790148
2002,11,0.589032308476585,0.0334379201227544,1251473.97217687,1294768.33224805,0,2124627.04365667
2002,12,0.589830181089305,0.0372442690654168,1254601.4013869,1303135.7394975,0,2127055.28067398
2002,1,0.585501122576378,0.0407003060764843,1249779.16965103,1302803.67810758,0,2134546.15450033
2002,2,0.5917243754929,0.0433888971485108,1270977.02464167,1328624.57988739,0,2147920.68280602
2002,3,0.589901216647144,0.0407191388614826,1273477.36834208,1327533.38457171,0,2158797.6637516
2003,4,0.591693951796709,0.0388584239207259,1285533.82972527,1337507.253582,0,2172633.04081726
2003,5,0.593867439291966,0.036152892049838,1296411.02629089,1345038.04140472,0,2182997.31643232
2003,6,0.587720396775211,0.0394041348547359,1289399.89276759,1342291.7374026,0,2193900.19445038
2003,7,0.587419179263411,0.0388098769592173,1294482.08720398,1346749.26029078,0,2203676.91914177
2003,8,0.590141971645326,0.0404924010961663,1306183.0556221,1361305.587485,0,2213336.9907252
2003,9,0.606283960878249,0.0357890649052222,1345628.2798748,1395574.58943621,0,2219468.708896
2003,10,0.607511659242494,0.0343236126576349,1354438.82156626,1402580.44964091,0,2229486.13571485
2003,11,0.606595129487113,0.0364778798973394,1358495.29421361,1409926.42085775,0,2239542.04077148
2003,12,0.600566342380577,0.0426891779588496,1349079.96164195,1409239.22573598,0,2246346.26758194
2003,1,0.597267791054123,0.046590825990337,1351429.28462156,1417470.40144157,0,2262685.69118118
2003,2,0.599648976714703,0.0412807043690401,1361816.20674419,1420453.52894243,0,2271022.31409645
2003,3,0.600360246648719,0.0417677910427894,1368376.21815109,1428021.52271652,0,2279258.53816859
2004,4,0.598899289912288,0.042164116098573,1370417.36880938,1430743.39961815,0,2288226.73843892
2004,5,0.598483773020364,0.0410077794762017,1374610.92880694,1433391.1155777,0,2296822.3881321
2004,6,0.591400593214335,0.0439489308076902,1363682.04769929,1426369.46042156,0,2305851.67371496
2004,7,0.588543374575072,0.0443922059492818,1362518.74969196,1425813.76813221,0,2315069.38749536
2004,8,0.592542843975867,0.0421634452634798,1377520.4872659,1438158.19145139,0,2324760.98778439
2004,9,0.596541324008022,0.0388861504520904,1392227.7982467,1448556.58765252,0,2333832.95040258
