cps_code,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,pca_score
1450,1.037278,0.487804878,0.317073171,0.42857143,0.42857143,0.186753525,1.595435464
1460,1.004709,0.53129351,0.500763034,0.37366301,0.31368133,0.26474988,1.996793398
1500,1.34695,0.481481481,0.5,0.22222222,0.11111111,0.233022598,1.265497525
1510,1.303009,0.55,0.475,0.42500001,0.42500001,0.209483412,2.209882284
1520,1.247779,0.527777778,0.430555556,0.2173913,0.19565217,0.20030857,1.209427455
1530,0.787448663,0.52264962,0.446173297,0.423187441,0.319417174,0.220728123,1.720539098
1541,0.923391913,0.54,0.52,0.321428366,0.303571237,0.226406866,1.770342096
1545,0.864113734,0.524880692,0.473483965,0.411136988,0.372157257,0.22791967,1.919984657
1551,0.35121586,0.405660377,0.330188679,0.449603993,0.416299996,0.20865997,1.282117145
1555,0.314804824,0.375612714,0.32329946,0.293209474,0.225832288,0.206570308,0.542723656
1560,0.085232371,0.5,0.510638298,0.249999914,0.216666596,0.221957606,1.024833211
1600,0.732040278,0.430800942,0.590139949,0.420108223,0.360847857,0.234677572,1.947497589
1610,0.95156589,0.527746079,0.454189052,0.444884907,0.341047996,0.242218912,1.970676288
1640,0.040734277,0.431424099,0.467134942,0.209557298,0.176521196,0.154229707,0.397701898
1650,1.290609176,0.51723366,0.56746526,0.464448349,0.291244308,0.202360154,2.113409329
1700,1.347643492,0.72871179,0.621752183,0.620243168,0.398797852,0.245982451,3.280331679
1710,1.373917,0.565217391,0.608695652,0.46296296,0.37037036,0.321433845,2.901242719
1720,0.54948166,0.389346793,0.410664126,0.348777668,0.310972081,0.255507365,1.282115013
1745,1.014113,0.521716295,0.710303915,0.52633995,0.43602893,0.173619519,2.590196519
1750,0.699386339,0.473420711,0.48861239,0.409337808,0.20594071,0.175104254,1.268983876
1760,1.140157,0.456521739,0.445652174,0.375,0.33333334,0.169952523,1.500733082
1800,1.403764,0.552631579,0.617324561,0.56923079,0.52499998,0.327738909,3.419545712
1815,1.42653,0.625,0.84375,0.5625,0.5625,0.131145422,3.38109663
1821,1.455581042,0.37037037,0.509259259,0.35342727,0.298387232,0.211393655,1.641394668
1822,1.453324808,0.391891892,0.581081081,0.352879437,0.297924715,0.222732544,1.865991869
1825,0.027059881,0.455031195,0.287672162,0.010418964,0.008489526,0.200841404,-0.440780851
1830,1.411125,0.538461538,0.615384615,0.42307693,0.42307693,0.286293192,2.787911985
1840,1.227516,0.477272727,0.579545455,0.54000002,0.54000002,0.329807549,3.1166213
1860,1.272622144,0.511093882,0.632475117,0.396069023,0.363175413,0.32871771,2.703304015
1900,0.09558299,0.392310212,0.317563966,0.324085681,0.288988113,0.120562355,0.341842877
1910,0.3012355,0.416666667,0.266666667,0.3611111,0.27777779,0.091298716,0.304244209
1920,0.0628057,0.392857143,0.392857143,0.25,0.21875,0.156824182,0.346246836
1935,0.028362465,0.445880123,0.406486821,0.32910084,0.272528544,0.153538221,0.690528537
1940,0.1696743,0.185064935,0.284090909,0.11340852,0.038220551,0.157306305,-0.809762939
1950,1.201992508,0.666666667,0.621212121,0.520587294,0.325367073,0.218098527,2.686326876
1970,0.303186479,0.499568553,0.435506831,0.348041375,0.237273149,0.159593097,0.946818308
